"Block height","Time(UTC)","From","To","Direction","Amount"
"3076014","2024-05-31T11:22:00.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GF4tHAYQp99WRtrXUdDRwjW3gY9qBKrsFm5BPVeU2XnuaQh","Out",0.59639687
"3076011","2024-05-31T11:21:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FbPqGcqBS1etbr8d5Xio74iYWsKR4xsMfu9ty3dW1Nn7Tts","Out",0.06407519
"3076005","2024-05-31T11:20:12.001","5E943PeJewDfLrxbFZ1kJtohfcp54qWx5LAesPGyqrfmBpNN","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.28987544
"3076005","2024-05-31T11:20:12.001","5Cz69ZRmQbxkcjvx6XjKmZwhETTm9B6Do36DJ4jgniHLmBjn","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.499875441
"3076002","2024-05-31T11:19:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FsBEvNcEE3qwcAGr8MhiZAqzdyyRHzZQ3v8haQGvVFt5m5T","Out",0.06342482
"3075998","2024-05-31T11:18:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GgRnUFhE3cZ8x47uVwGSVbPsosrqgjnGkYtbLWRcWWvzcDt","Out",1.82865219
"3075995","2024-05-31T11:18:00.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FvtcCCDRcnzEKXgvmNLBo4JQLU9cu5hcpSrP34dLLSd5oB2","Out",2.10074088
"3075992","2024-05-31T11:17:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CJQa3tGbWcMf7Btq7b67wudc3F6BjCk61nBwfq6Rv2FZ4vS","Out",10.63282209
"3075952","2024-05-31T11:09:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CDNAhtaSX9PyFM73W3Re3Z2nCEEDZVBYc7JJQPSZu1dhSFt","Out",0.50015693
"3075909","2024-05-31T11:00:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GNyqjphSwCq8kdt7VNALGZbMGnkLbDrUctP98Lowt8CgCd9","Out",2.53048367
"3075856","2024-05-31T10:50:12","5Cc4ygj296P8gyu9Qv7hSoxbKRJMrYUnVvwWX4H3JKNahLuh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",23.13078544
"3075856","2024-05-31T10:50:12","5Cq76QERLDRs5HcdpvX6WrwYh9uNpPPEfuyMcdgSCdTbJC8d","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.15222504
"3075856","2024-05-31T10:50:12","5D6iXDNimaMVxPjVp5dX6GzyGfFtTnhMYT4mEzPgfbCtG24w","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.594750887
"3075826","2024-05-31T10:44:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HWWD8inaoyXB4QFmdmQGG1n6KP6UoeSiU2PYANTc6dXJ638","Out",1.4997
"3075809","2024-05-31T10:40:48","5CvACyJJPjAjzN9T57RPHcFzPtPE7DJQeu9fcDUt8Th1CYi3","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.321402468
"3075649","2024-05-31T10:08:36","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GF5BN3JqM7amNvAeC1skvLxNzgJuTLBARzZCAiD2L7FoqTJ","Out",41.5881698
"3075623","2024-05-31T10:03:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GF5BN3JqM7amNvAeC1skvLxNzgJuTLBARzZCAiD2L7FoqTJ","Out",0.0997
"3075607","2024-05-31T10:00:12.001","5CPj24JgZ65SocA929tjPtdnm89c6MFSkma6b5DtXYnPiuJs","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.999875441
"3075588","2024-05-31T09:56:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DRPWJEmP4NHpgbaGmQC9ofGE6s5694gRQuvsi7u6V6qx2x7","Out",0.08702844
"3075557","2024-05-31T09:50:12.003","5D7bwZn1osPdHq38UHaStFocEwpez3CoPXu16evac3ejdvbn","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",5.09987544
"3075557","2024-05-31T09:50:12.003","5Cow9cyJcaRzdgJU5kwaJWkJT1kgYjGdCkcUFwafn9k528hg","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.059075442
"3075532","2024-05-31T09:45:12.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H9PUErCv4vDtCMKPs43rwBVj17NUNA3WjktoDzUmMfczGj8","Out",2.3663
"3075507","2024-05-31T09:40:12.002","5Cc4ygj296P8gyu9Qv7hSoxbKRJMrYUnVvwWX4H3JKNahLuh","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",120.19187544
"3075507","2024-05-31T09:40:12.002","5CtxtMKxiDVqrSLQNNdsX62ZReWq2ZQnFU9gtNKzWys5C8hF","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.064458923
"3075457","2024-05-31T09:30:12.001","5GxAsBt3JFyExJRh8Dd9xBxKnmEREJ34jhFaNTureu6KZVh9","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",11.66987544
"3075457","2024-05-31T09:30:12.001","5Gvc3sG9ud7KPWr3uZjJRnhTAv33RSytFyAirHHqFe6jS7Js","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",11.66987544
"3075457","2024-05-31T09:30:12.001","5Cv2cFk82sG5EKvvRAnHP7sLEvjefMjNwRDdNedSbM923osd","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.499875441
"3075308","2024-05-31T09:00:12","5CX6i3ESA4sovDF7ffCW2aozF7hCcKK7GNpFGpq72ocVxrq5","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",146.979371859
"3075258","2024-05-31T08:50:12","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",88.037917629
"3075208","2024-05-31T08:40:12.002","5CsFUBX8oVcNuyRcHc91Q9VWUH5Zidac7chgB5iqVYFZsEpM","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.594372655
"3075178","2024-05-31T08:34:12.004","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DDSDtmj2u9kD3tSgXTo5jScw5ncb1AYuDFXaJ6yLGdqgw35","Out",5.76259894
"3075116","2024-05-31T08:21:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5H1mDMucShmRBkFj4iSvJabF9m9HCaWGukgR1qqXaw3tiYYQ","Out",1.38775169
"3075077","2024-05-31T08:14:00","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5C5B5utGNkdyDYYSnXeJmcHf6XJRyEUmL7u5FKz3iXrfLDT2","Out",0.2307
"3074982","2024-05-31T07:54:48","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5Grgf8nBYdfNjDjir1Gc2Bx6jDq2f4ZqJBdkZGFEBS5Suedt","Out",0.4147845
"3074970","2024-05-31T07:52:24.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5DfEzb9zHu8QJTDuAHuuj5HSKticPy9q5GYLN6e1xEDtLAaW","Out",2.4443529
"3074959","2024-05-31T07:50:12.001","5D6x5hW5s9vwZaMkK81SFhYbVsFoG972wFVc6yomd8ssB2GC","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",1.284206441
"3074919","2024-05-31T07:42:12","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5HD8MPaJYuKukywQCT5CdpZuQ8U1WxbihjDGs2DiK8zCVfAd","Out",22.9997
"3074909","2024-05-31T07:40:12","5Dv2KpTLJ6d74J5VDoG9mv1emkpoyY8uNo3vcfZxuFE5R2uL","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",77.877502015
"3074875","2024-05-31T07:33:24.002","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CAX2o2zUPDRbfoqEbao9dEjcr9auda7aiQxDBFHiYZJm2KS","Out",30.4097
"3074862","2024-05-31T07:30:48.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5GYyZT6UyHEQNgcyzkrh42w2bZX5hUmDRcqUg4S4BFSvGs3J","Out",2.708988
"3074859","2024-05-31T07:30:12","5CFKkAiEzJxSVTod2tA8xTbL1wUpGm2GPJddS3zUVNTxeCpC","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",999.99987544
"3074859","2024-05-31T07:30:12","5Cgr8U1j4TyMz5QdJ6FK3EwKDdwqVyrXu1mx6jeyY7HbyrCz","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",2.099875441
"3074859","2024-05-31T07:30:12","5CR99fedQswHrjGd72RunnJ3VYXrF1jDUjkbPLJFMDkHNPHC","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","In",0.499875442
"3074835","2024-05-31T07:25:24","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5CPJtcVFnps5x1Vhpjckd9jz96HhMywSvrx9tiBgFQkYhoku","Out",1.9977
"3074831","2024-05-31T07:24:36.001","5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi","5FNewxeQeWFGjHmPkjVMErbW4pzqWQxBp69xUMRXQf2Q23ri","Out",0.9989997
