Block height,Time(UTC),From,To,Direction,Amount
3308282,2024-07-02T20:42:12.005,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5Fjn7Mz5RCBdbPnVhakKg1GYtt5BzxnnYr9vDxrS2uh72Bzo,Out,0.4324668
3308279,2024-07-02T20:41:24.003,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5F7XXSWEpUkSQTxE3M949xUTxKETNkwsYQcp8RHRQ3FVXA1x,Out,1.01399634
3308276,2024-07-02T20:40:48,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5F6VLnSHwLaQhRoQay8Wg9b3yXjXim33ZJrKPcXDrrW8AhoR,Out,0.72897
3308273,2024-07-02T20:40:12.002,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5HjdYUrTgDUmUCwJRahwhKAncD2RBVzLiJMBbCZJh8BXA29L,Out,2.1876099
3308273,2024-07-02T20:40:12.002,5DEDvh9Dg187QWRjLMZch8sjdMnHEfrRCpc2muUjkjwemA7g,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,499.99487544
3308270,2024-07-02T20:39:36.006,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5HpZ4iDsy3gKMCQ2WoQxw6W3qemPZBNzLF9z4W98jfA7WVaD,Out,2.04468724
3308267,2024-07-02T20:39:00.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5GQMdbmJ21nRau55xU9W8ZYfa1AAJt2jy8xFnXQVTJVN61ut,Out,69.745
3308264,2024-07-02T20:38:24.002,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5CmvaYJeDLgiVnKMk4jbNnFLkwFBgDC1YxHnK8TLeSiZCMfT,Out,31.351
3308259,2024-07-02T20:37:24.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc,Out,15.2597
3308252,2024-07-02T20:36:00,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5Cz6EKZT44PzYkokJuVhVBgGFvaDQyLKP6nri7Cs9QhnRFsM,Out,2.0444532
3308249,2024-07-02T20:35:24.004,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5D2p4E4wuo9LjNuxfrdc9Epm4f1u5ebnzeDhU9iSdWGjRhwW,Out,1.0258728
3308244,2024-07-02T20:34:24.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5CLopvQBbsir646whEUf1tMzmyRiFbRimjiytF2B2jRgd1oM,Out,283.0645518
3308240,2024-07-02T20:33:36,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5FUGtGkSobcoc4dzd2cvQiW2rL9zHKEJUZwny5n5d5AfApK2,Out,609.31111371
3308234,2024-07-02T20:32:24,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5Gn6D1n1z2Ry3BJUfbb4XaKT7KcYJa7kWaVgrQcouRepNjij,Out,17.883
3308230,2024-07-02T20:31:36,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5ETvm2ypkhPxHqwasXMmWv6sY9MtB8bmz83sKxJFJoX2zdAy,Out,11.4882
3308225,2024-07-02T20:30:36,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5FfyHUDPJLUpSfhsRGwHMpSkpcKgd55NnbrUNcNYBNWarTDJ,Out,99.9997
3308223,2024-07-02T20:30:12.001,5DqBqq4yu68xAYfbjhndtuP8McQvCMZxiYqKHUvuu8gp64Hm,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,4998.999875439
3308223,2024-07-02T20:30:12.001,5DEDvh9Dg187QWRjLMZch8sjdMnHEfrRCpc2muUjkjwemA7g,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,799.99487544
3308223,2024-07-02T20:30:12.001,5EbBt58C9E5LAjGevwwXtWTpWMbqZRqQYwiRbJifUjVWs3yt,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,35.61487544
3308223,2024-07-02T20:30:12.001,5EcVNkqbfiUdfo2BUe4tSBWstgJvoUdBAveCi3UW3ikAtNgg,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,3.399875441
3308218,2024-07-02T20:29:12,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5HpwYH27rzcUpkEXwwMdD6oGhk6eiW5wPdNxFajDKjphJp7z,Out,1.2228756
3308215,2024-07-02T20:28:36.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5FYsrrQcJYTbjrCUfo2NG9hQdPWiH1aUxLNFJEHPUU6PNawG,Out,5.575119
3308211,2024-07-02T20:27:48.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5Dtb441J4iGJQqKfNH9STaxjTjtYH99eq269ZzaCKFSZdjMw,Out,0.3081912
3308205,2024-07-02T20:26:36,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5GQMdbmJ21nRau55xU9W8ZYfa1AAJt2jy8xFnXQVTJVN61ut,Out,69.6245
3308202,2024-07-02T20:26:00,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5EX5n6a9wQFiFEGZzxhexhk7UxvgARQR87FDf8DSWkg7m1Za,Out,2.4997
3308198,2024-07-02T20:25:00.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5HL8J3Ak2XySU5sZVkXvyDiqGBNcNKT6bUafPw3i2t6E8oXv,Out,2.16926629
3308194,2024-07-02T20:24:12,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5F1ptM6zJzRtizucUJQETiqdDaNknFtA8Pk93b66o58JfHEc,Out,17.8928
3308191,2024-07-02T20:23:36.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5DAcs2XvP1tTLLvKYc1TH1F1A8ykqkz5hQxmBdHUjsajTYur,Out,1.2895
3308179,2024-07-02T20:21:12.001,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,5DVsLTvGmUDT6hEp3P9RsLL95BgknJm3natm3EFijfkhrzkw,Out,207.9997
3308175,2024-07-02T20:20:12.001,5EbC3cyppakESsR1y7ib2VxciSBCDo17R3SVXC2HKF9SZYSG,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,0.129675442
3308174,2024-07-02T20:20:00.003,5CmiMw7Gv5qba62vLogYHEfbxjqagkgYh2hmUJJ7XJyv35vY,5GBnPzvPghS8AuCoo6bfnK7JUFHuyUhWSFD4woBNsKnPiEUi,In,9126.999875439
